id,direccion,telefono,ciudad,idRepLegal
679,883-4332 Ligula Road,030-748-1283,Poucet,82
41,Ap #406-3406 Arcu. Street,035-082-6746,Sint-Lambrechts-Woluwe,92
669,9826 Cras St.,094-285-6931,Bientina,333
543,2771 Aliquam St.,017-824-1804,Anlier,941
234,478-638 Libero Av.,032-610-2915,Jupille-sur-Meuse,431
351,Ap #669-360 Magna. Street,033-776-2709,Prince Albert,942
162,"P.O. Box 841, 8039 Nam Rd.",012-829-1497,Erode,601
772,"P.O. Box 665, 7086 Id, Av.",066-677-3699,Assiniboia,7
454,"527-4136 Vel, Rd.",007-288-2164,Siena,683
65,981-6980 Malesuada Street,079-191-7056,Katihar,490
352,"P.O. Box 380, 9072 Ac St.",061-041-6021,Goulburn,41
897,"P.O. Box 337, 5028 Nisl Rd.",007-380-2656,Frederick,274
976,"P.O. Box 678, 8721 Viverra. St.",013-979-0014,Pontarlier,321
546,Ap #357-2140 Dignissim Rd.,061-985-4710,Baton Rouge,831
224,569-7380 Erat Avenue,096-131-0777,Snellegem,914
117,890 Vulputate St.,022-264-9840,Bolton,648
873,Ap #192-9034 Ut Rd.,042-901-2484,Frankfort,129
81,Ap #635-9468 Cras Road,059-136-9355,Istanbul,350
362,"P.O. Box 282, 9077 Rutrum, Ave",069-693-3713,Saint-Remy,339
158,Ap #650-5133 Ullamcorper. Rd.,096-300-1022,Workington,294
270,755-132 Nec St.,011-112-2822,Mandela,998
867,152-9842 Aliquet. St.,045-109-4372,Flint,549
676,911-8320 Quam Road,090-211-6817,Damme,95
269,"P.O. Box 319, 8870 Faucibus St.",072-022-0614,Erembodegem,497
272,288-8744 Mollis. St.,027-834-3611,Alva,358
996,730-3061 Nunc St.,049-959-7484,Vezirköprü,947
191,Ap #208-2982 Tristique St.,021-159-5599,Bhuj,210
699,644-8921 Donec Street,001-584-3499,Montresta,799
378,"P.O. Box 805, 2314 Elit, Av.",018-078-4083,Cochrane,739
908,"P.O. Box 940, 1698 Gravida. Ave",045-274-0718,Arras,897
